('06/2018', 3315497308166820L)
('12/2016', 80339390827510L)
('12/2017', 1689099603753211L)
('12/2015', 8283994655916)
('11/2018', 2889547599765674L)
('09/2018', 3253377171293065L)
('01/2016', 9294880620559)
('12/2018', 2355539581933853L)
('01/2017', 101379568289802L)
('08/2018', 3514539919280637L)
('02/2019', 2698566165462388L)
('02/2018', 2908075342234196L)
('08/2015', 3446751016326)
('05/2018', 3258756658961264L)
('04/2017', 275732489267126L)
('01/1970', 17179869184)
('01/2018', 2231119528380992L)
('04/2016', 28352409169935)
('05/2019', 2013473957537208L)
('04/2019', 1866625411380324L)
('10/2015', 6269237164761)
('08/2017', 1793083276552098L)
('01/2019', 2641356291392694L)
('05/2016', 37863223843770)
('05/2017', 410185507346477L)
('10/2016', 89720279525790L)
('08/2016', 60779290724457L)
('04/2018', 3152705565859665L)
('10/2017', 1922683415068723L)
('09/2016', 72347527339269L)
('07/2015', 361299515100)
('09/2017', 2463654930400698L)
('07/2016', 57916677569618L)
('07/2017', 1197444173333949L)
('07/2018', 3460525983108699L)
('03/2016', 19040743050826)
('09/2015', 6568613819747)
('03/2017', 191159846556653L)
('11/2017', 1463971012937343L)
('11/2016', 66939584689701L)
('10/2018', 3190383156540090L)
('11/2015', 7794736832325)
('06/2017', 752104421757573L)
('06/2016', 49162335904972)
('02/2017', 130009736092366L)
('02/2016', 12437789552576)
('03/2018', 3206967027334693L)
('03/2019', 1857789347117918L)
('06/2019', 2068006710190499L)
